Table S14. Ports throughput,,,,
iso3,year,RCP,SSP,throughput
SXM,2030,RCP4.5,SSP2,481965.0075
SXM,2030,RCP4.5,SSP5,585842.1386
SYC,2030,RCP4.5,SSP1,16094966.45
SYC,2030,RCP4.5,SSP2,14705607.82
SYC,2030,RCP4.5,SSP5,18651250.57
SYR,2030,RCP4.5,SSP1,2764379.133
SYR,2030,RCP4.5,SSP2,3255148.076
SYR,2030,RCP4.5,SSP5,3730674.999
TCA,2030,RCP4.5,SSP1,260220.7998
TCA,2030,RCP4.5,SSP2,267410.7384
TCA,2030,RCP4.5,SSP5,326236.8442
TGO,2030,RCP4.5,SSP1,87610419.3
TGO,2030,RCP4.5,SSP2,81436924.62
TGO,2030,RCP4.5,SSP5,102036954.7
THA,2030,RCP4.5,SSP1,239602281.4
THA,2030,RCP4.5,SSP2,250396756.7
THA,2030,RCP4.5,SSP5,301584094.9
TKM,2030,RCP4.5,SSP1,1191884.392
TKM,2030,RCP4.5,SSP2,1183350.178
TKM,2030,RCP4.5,SSP5,1449305.928
TLS,2030,RCP4.5,SSP1,8522537.732
TLS,2030,RCP4.5,SSP2,7465070.358
TLS,2030,RCP4.5,SSP5,9629744.064
TON,2030,RCP4.5,SSP1,196659.4052
TON,2030,RCP4.5,SSP2,218703.8201
TON,2030,RCP4.5,SSP5,254748.0458
TTO,2030,RCP4.5,SSP1,266173716.8
TTO,2030,RCP4.5,SSP2,223796016.7
TTO,2030,RCP4.5,SSP5,292996253.5
TUN,2030,RCP4.5,SSP1,36341599.87
TUN,2030,RCP4.5,SSP2,38026471.06
TUN,2030,RCP4.5,SSP5,45345826.87
TUR,2030,RCP4.5,SSP1,795849519.5
TUR,2030,RCP4.5,SSP2,773418612.2
TUR,2030,RCP4.5,SSP5,956053601.6
TUV,2030,RCP4.5,SSP1,84809.01458
TUV,2030,RCP4.5,SSP2,89294.19821
TUV,2030,RCP4.5,SSP5,106469.8466
TWN,2030,RCP4.5,SSP1,492909901
TWN,2030,RCP4.5,SSP2,477619069.3
TWN,2030,RCP4.5,SSP5,593295587.1
TZA,2030,RCP4.5,SSP1,40608987.88
TZA,2030,RCP4.5,SSP2,43524075.55
TZA,2030,RCP4.5,SSP5,51706110.49
UKR,2030,RCP4.5,SSP1,183093022.7
UKR,2030,RCP4.5,SSP2,179237960.4
UKR,2030,RCP4.5,SSP5,220555067.6
URY,2030,RCP4.5,SSP1,54629303.56
URY,2030,RCP4.5,SSP2,51591796.38
URY,2030,RCP4.5,SSP5,64884134.48
USA,2030,RCP4.5,SSP1,1958027425
USA,2030,RCP4.5,SSP2,2045321031
USA,2030,RCP4.5,SSP5,2480110265
VCT,2030,RCP4.5,SSP1,442683.8953
VCT,2030,RCP4.5,SSP2,473276.4207
VCT,2030,RCP4.5,SSP5,566986.244
VEN,2030,RCP4.5,SSP1,42431266.06
VEN,2030,RCP4.5,SSP2,41119908.13
VEN,2030,RCP4.5,SSP5,50946659.74
VGB,2030,RCP4.5,SSP1,731493.8797
VGB,2030,RCP4.5,SSP2,760057.9146
VGB,2030,RCP4.5,SSP5,913944.0333
VIR,2030,RCP4.5,SSP1,3586712.17
VIR,2030,RCP4.5,SSP2,3082672.111
VIR,2030,RCP4.5,SSP5,4004449.9
VNM,2030,RCP4.5,SSP1,192881503.1
VNM,2030,RCP4.5,SSP2,202575451.7
VNM,2030,RCP4.5,SSP5,242809224.4
VUT,2030,RCP4.5,SSP1,410070.6113
VUT,2030,RCP4.5,SSP2,444464.6844
VUT,2030,RCP4.5,SSP5,518517.096
WSM,2030,RCP4.5,SSP1,450465.143
WSM,2030,RCP4.5,SSP2,510199.6631
WSM,2030,RCP4.5,SSP5,599288.8369
YEM,2030,RCP4.5,SSP1,24298248.39
YEM,2030,RCP4.5,SSP2,25485647.25
YEM,2030,RCP4.5,SSP5,30414069.52
ZAF,2030,RCP4.5,SSP1,666570598.3
ZAF,2030,RCP4.5,SSP2,635404218.3
ZAF,2030,RCP4.5,SSP5,788610898.1
ABW,2050,RCP4.5,SSP1,53124481.03
ABW,2050,RCP4.5,SSP2,49345217.86
ABW,2050,RCP4.5,SSP5,76887100.27
AGO,2050,RCP4.5,SSP1,735438055.1
AGO,2050,RCP4.5,SSP2,689283655.9
AGO,2050,RCP4.5,SSP5,1064983932
AIA,2050,RCP4.5,SSP1,94317.13573
AIA,2050,RCP4.5,SSP2,65646.37969
