"","countrycode","FractionChange_perC","FractionChange_perC_se","FractionChange_perC_sq","FractionChange_perC_sq_se","cov_t_t2","r_sq","MangroveArea_2020_km2"
"31","GNB",-0.0104758330305935,0.000192243198052415,-0.00112438795898491,9.63135063356242e-05,-1.78765954430468e-08,0.998858775543135,979.833692090148
"32","GNQ",-0.000821850757703977,0.00017062063705741,-0.000864757948289747,8.54806410562139e-05,-1.40814042105684e-08,0.977951495831296,39.4632604562119
"33","GRD",-0.00242386917987332,5.37763863500283e-05,-0.000704212843833071,2.69418756028927e-05,-1.39883367048225e-09,0.999008570355547,0.0285442985784267
"34","GTM",-0.00639765032095979,0.000113244711455623,0.000304249291527307,5.67354025773298e-05,-6.20324174022983e-09,0.998124491515298,141.228809306751
"35","GUF",-0.00223565472979941,4.7506704005121e-05,-0.000984838363257942,2.38007757025262e-05,-1.09167319677409e-09,0.999356217736494,482.350025027624
"36","GUM",-0.00219342544356584,8.95136770922606e-05,-0.00105200302712871,4.48461958243114e-05,-3.87580253308187e-09,0.997814330140007,0.418052434159265
"37","GUY",-0.00271298372553015,5.17958527965694e-05,-0.00101081689832475,2.59496317530116e-05,-1.29769557198362e-09,0.999396520682922,91.3993457777127
"38","HND",-0.00591519143327291,0.00021102746403061,-0.00162811218915769,0.000105724390770702,-2.15407493242416e-08,0.997339592158484,366.834179377815
"39","HTI",-0.00562453884381437,0.000104898372561597,-0.000762280942712647,5.25539013742033e-05,-5.32255732638279e-09,0.998921653491043,76.6881218830243
"40","IDN",-0.00229944508008753,4.211283895877e-05,0.000142274136488801,2.10984587385024e-05,-8.57851047644616e-10,0.997866320953347,25045.3488798019
"41","IND",-0.0104874137053892,0.000300364165536787,-0.00197446835916974,0.000150481922135598,-4.36394314784889e-08,0.997828929680438,2887.27765513707
"42","IRN",-0.0161288900276999,0.000250995615196596,-0.00229875823438891,0.000125748364672232,-3.04729932883655e-08,0.999264946772156,75.4368861321286
"43","JAM",-0.00359176982723068,6.59790835836656e-05,-0.000774146974705992,3.30554055963086e-05,-2.10569470520641e-09,0.999171756009819,77.7371137320636
"44","JPN",-0.00313006497860021,6.16228260360218e-05,-0.000712446382638165,3.08729281762222e-05,-1.83681775797795e-09,0.999079733141895,4.53162012316822
"45","KEN",-0.00561408275847816,0.000142700842432582,-0.000254060898978114,7.14928727308317e-05,-9.84999297603026e-09,0.997301878433282,527.174266718982
"46","KHM",-0.00556947757844843,0.000210504820442595,-0.00196634281410364,0.000105462547246273,-2.1434183164495e-08,0.997530421034819,513.813980667942
"47","LBR",-0.00326490324298558,7.82382458298594e-05,-0.00137332939958377,3.91972244623593e-05,-2.96088170211267e-09,0.999145808257799,89.2246031689811
"48","LCA",-0.00385791759426936,8.88103217260744e-05,0.000767189598807816,4.44938160147594e-05,-3.81513344788228e-09,0.993334880806821,1.36111577672961
"49","LKA",-0.00464817168425397,8.13463502265869e-05,-0.0011223892494005,4.07543793346184e-05,-3.20080333758085e-09,0.999299312588411,101.695627304043
"50","MDG",-0.0061715124300116,0.000108894010399815,-0.00136489302803903,5.45557089499445e-05,-5.73575816289739e-09,0.999247525992469,2756.55116961433
"51","MEX",-0.00590219729295661,9.03469401880872e-05,-0.00105666894129754,4.52636591794375e-05,-3.9482963679707e-09,0.999362082014796,6291.06429447929
"52","MMR",-0.00366298798145733,0.00012491495777674,-0.00198804998975853,6.25821755938747e-05,-7.54764973995904e-09,0.998651723889752,3610.36841836319
