iso3,scc,oc_capital,valuation
BTN,1.522241359054446e-11,Mangroves,Non-market use value
BTN,1.522241359054446e-11,Mangroves,Nonuse value
BTN,1.522241359054446e-11,Ports,Market value
BTN,-0.0,Total,Total
BWA,-1.28746157782985e-10,Corals,Market value
BWA,-1.28746157782985e-10,Corals,Non-market use value
BWA,-1.28746157782985e-10,Corals,Nonuse value
BWA,-1.28746157782985e-10,Fisheries,Market value
BWA,-1.28746157782985e-10,Fisheries,Non-market use value
BWA,-1.28746157782985e-10,Mangroves,Market value
BWA,-1.28746157782985e-10,Mangroves,Non-market use value
BWA,-1.28746157782985e-10,Mangroves,Nonuse value
BWA,-1.28746157782985e-10,Ports,Market value
BWA,-0.0,Total,Total
CAF,9.394896517914472e-12,Corals,Market value
CAF,9.394896517914472e-12,Corals,Non-market use value
CAF,9.394896517914472e-12,Corals,Nonuse value
CAF,9.394896517914472e-12,Fisheries,Market value
CAF,9.394896517914472e-12,Fisheries,Non-market use value
CAF,9.394896517914472e-12,Mangroves,Market value
CAF,9.394896517914472e-12,Mangroves,Non-market use value
CAF,9.394896517914472e-12,Mangroves,Nonuse value
CAF,9.394896517914472e-12,Ports,Market value
CAF,-0.0,Total,Total
CAN,1.8362904508882836e-09,Corals,Market value
CAN,1.9509333812510807e-09,Corals,Non-market use value
CAN,1.9509333812510807e-09,Corals,Nonuse value
CAN,-0.0023681143209510203,Fisheries,Market value
CAN,0.29662400203937395,Fisheries,Non-market use value
CAN,1.8362904508882836e-09,Mangroves,Market value
CAN,1.9509333812510807e-09,Mangroves,Non-market use value
CAN,1.9509333812510807e-09,Mangroves,Nonuse value
CAN,0.0359892759559924,Ports,Market value
CAN,0.330245161081008,Total,Total
CHE,-1.1432972266497906e-09,Corals,Market value
CHE,-1.1432972266497906e-09,Corals,Non-market use value
CHE,-1.1432972266497906e-09,Corals,Nonuse value
CHE,-1.1432972266497906e-09,Fisheries,Market value
CHE,-1.1432972266497906e-09,Fisheries,Non-market use value
CHE,-1.1432972266497906e-09,Mangroves,Market value
