"","countrycode","FractionChangeGDP_perC","FractionChangeGDP_perC_se_adj"
"60","GNQ",NA,NA
"61","GRC",NA,NA
"62","GRD",-0.000595654775167299,1.53743734588539e-05
"63","GTM",NA,NA
"64","GUY",NA,NA
"65","HKG",NA,NA
"66","HND",-0.000191969974586218,3.83141370472666e-06
"67","HRV",NA,NA
"68","HTI",-6.90629837624387e-05,1.65067389959687e-06
"69","HUN",NA,NA
"70","IDN",-0.000114234333924363,2.89987558186776e-06
"71","IND",-1.78313627199379e-06,4.78964234758099e-08
"72","IRL",NA,NA
"73","IRN",-2.36007427637448e-06,6.09593145023187e-08
"74","IRQ",NA,NA
"75","ISL",NA,NA
"76","ISR",-1.11458161079916e-07,2.29914170384125e-09
"77","ITA",NA,NA
"78","JAM",-0.000136813871218804,3.46847549107034e-06
"79","JOR",-4.53199150638384e-07,7.12739754959135e-09
"80","JPN",-1.12956743778172e-05,3.38905544268967e-07
"81","KAZ",NA,NA
"82","KEN",-3.48415990109653e-05,7.64508640380013e-07
"83","KGZ",NA,NA
"84","KHM",-7.27961007594862e-06,1.83188162340668e-07
"85","KOR",NA,NA
"86","KWT",-9.15568245434254e-06,1.83575389170068e-07
"87","LAO",NA,NA
"88","LBN",NA,NA
"89","LBR",NA,NA
"90","LBY",NA,NA
"91","LCA",-9.84377837330941e-05,2.52519022481876e-06
"92","LKA",-2.8459208030321e-05,7.87709968129856e-07
"93","LSO",NA,NA
"94","LTU",NA,NA
"95","LUX",NA,NA
"96","LVA",NA,NA
"97","MAR",NA,NA
"98","MDA",NA,NA
"99","MDG",-0.000734169278768549,1.69760836549544e-05
"100","MDV",-0.0194025397753798,0.000874315520001793
"101","MEX",-5.89885763841845e-06,1.31459503903703e-07
"102","MKD",NA,NA
"103","MLI",NA,NA
"104","MLT",NA,NA
"105","MNG",NA,NA
"106","MOZ",-0.000419903393006784,1.18859317810244e-05
"107","MRT",NA,NA
"108","MUS",-0.00456722328094618,0.000136352962482017
"109","MWI",NA,NA
"110","MYS",-5.90500827431152e-05,1.2241251502008e-06
"111","NAM",NA,NA
"112","NER",NA,NA
"113","NGA",NA,NA
"114","NIC",-0.000316292214919845,8.22444098251631e-06
"115","NLD",-7.0312074731239e-06,1.74393309700649e-07
"116","NOR",NA,NA
"117","NPL",NA,NA
"118","NZL",-4.16529725331659e-05,1.00405358447506e-06
"119","OMN",-0.000101072093307468,2.58231933429296e-06
"120","PAK",NA,NA
"121","PAN",-0.000214326455268991,5.07654842958355e-06
"122","PER",NA,NA
"123","PHL",-0.000349793985240285,6.30678207070101e-06
"124","PNG",-0.00140720889384944,2.35965379127136e-05
"125","POL",NA,NA
"126","PRI",NA,NA
"127","PRT",NA,NA
"128","PRY",NA,NA
"129","ROU",NA,NA
"130","RUS",NA,NA
"131","RWA",NA,NA
"132","SAU",-0.000102057996580431,1.60298559756188e-06
"133","SDN",-9.15257431124295e-05,2.19299444770788e-06
"134","SEN",NA,NA
"135","SGP",-6.02513788299682e-07,1.42287767868561e-08
"136","SLB",-0.00820589839897754,0.000166456586399189
"137","SLE",NA,NA
"138","SLV",NA,NA
"139","SOM",-0.000279295542238885,6.12487887658873e-06
"140","SRB",NA,NA
"141","STP",NA,NA
"142","SUR",NA,NA
"143","SVK",NA,NA
"144","SVN",NA,NA
"145","SWE",NA,NA
"146","SWZ",NA,NA
"147","SYR",NA,NA
"148","TCD",NA,NA
"149","TGO",NA,NA
"150","THA",-5.2295635211452e-06,1.40002044323064e-07
"151","TJK",NA,NA
"152","TKM",NA,NA
"153","TLS",-4.49848250234501e-05,6.25702281632201e-07
"154","TON",-0.0160545831363211,0.000687021372178761
"155","TTO",-2.66182430621508e-05,8.87446006765066e-07
"156","TUN",NA,NA
"157","TUR",NA,NA
"158","TZA",-0.000219748698296244,5.45820397474971e-06
"159","UGA",NA,NA
"160","UKR",NA,NA
"161","URY",NA,NA
"162","USA",-5.28045894053768e-06,1.23542788656366e-07
"163","UZB",NA,NA
"164","VCT",-0.00024727081262948,6.82692355617545e-06
"165","VEN",-7.82727623902985e-06,1.99846639013072e-07
"166","VNM",-1.45456967213373e-05,3.60738993517888e-07
"167","VUT",-0.002222003341184,3.5867283853147e-05
"168","WSM",-0.00174282147638041,4.39277285434114e-05
"169","YEM",-9.58990304042559e-06,1.00791469016373e-07
"170","ZAF",-3.19774463551514e-08,7.73461282902472e-10
"171","ZMB",NA,NA
"172","ZWE",NA,NA
