"","countrycode","beta_nutrient_percChange_perDegreeC","beta_nutrient_percChange_perDegreeC_se","TAME_nutrients_MortalityEffect","TAME_nutrients_MortalityEffect_se","Nutritional_D"
"53","IDN",-6.68594666178723,0.107031576451915,0.00247602525494999,0.000265012886372052,0.437946129
"54","IND",-6.81469347775779,0.0978419639437809,0.00221016711201484,0.000216247090883486,0.034285083
"55","IRL",-2.8571953091304,0.0593590181826054,0.00162377509192953,9.63856952063064e-05,0.05410903
"56","IRN",-2.73477990815371,0.0583514811301891,0.00198235502881749,0.000115673352057379,0.054606839
"57","ISL",-2.75427928169256,0.0591529810167252,0.00176656018607722,0.000104497301151928,0.27677655
"58","ISR",-2.98140039845425,0.0607787485459036,0.00118160331051681,7.18163704909083e-05,0.026871852
"59","ITA",-2.76008445516347,0.0588183028669194,0.0031872516378054,0.000187468732145523,0.095110581
"60","JAM",-2.88423050827563,0.0603662149020075,0.00208435334228561,0.000125824521792131,0.217372742
"61","JOR",-6.75373497161568,0.0999887474400185,0.00145795592128276,0.000145779186391821,0.067419384
"62","JPN",-2.92019291083211,0.0608378471252989,0.00278267970192554,0.000169292242304418,0.375480938
"63","KEN",-7.33884423716084,0.103851167351442,0.00110225563406309,0.000114470534317156,1.01e-10
"64","KHM",-6.86737881683266,0.10230253903119,0.00202507726043851,0.000207170545477185,0.19444269
"65","KOR",-2.97284173608851,0.0599557714287166,0.00155321852846125,9.312441507127e-05,0.365534397
"66","KWT",-2.64276141630777,0.0578949851460311,0.00110480460360809,6.39626461151572e-05,0.065708852
"67","LBN",-2.91445677873405,0.0598779677417864,0.00253996066959404,0.000152087683039358,0.090730238
"68","LBR",-7.23594751016112,0.0961967962678371,0.00129193328833999,0.000124279843330079,0.082885834
"69","LBY",-2.73355879164524,0.0572386451567976,0.00183010025445005,0.000104752459065831,NA
"70","LCA",-2.94331557127252,0.061699352979432,0.00231935136015262,0.000143102478253382,0.212768312
"71","LKA",-6.64648092631941,0.107464290945432,0.00209879078679672,0.000225545063745916,0.600696775
"72","LTU",-2.56988957631877,0.0599111742283892,0.00559637821963624,0.000335285590564589,0.203603049
"73","LVA",-2.60232385465035,0.0601956514934661,0.00581549333683333,0.000350067410166594,0.135536639
"74","MAR",-6.43614244338022,0.108941548976024,0.00333490362064136,0.000363309566118423,0.207063013
"75","MDG",-7.10169067487013,0.097741777649043,0.00156737409928779,0.000153197930705456,0.113369091
"76","MDV",-6.69804912373025,0.105874306646178,0.00125220709465502,0.000132576557924025,1.000000005
"77","MEX",-3.02187555154224,0.0613506168418986,0.0018269862959106,0.000112086736215811,0.076215315
"78","MLT",-2.71264619817263,0.0585352187844246,0.00284091087796876,0.000166293339788953,0.122296274
"79","MOZ",-7.41838773102361,0.103760901193418,0.00168641874594413,0.000174984328868637,0.332492662
"80","MRT",-6.96731492629787,0.0971737467850466,0.00139184132309739,0.000135250436295631,0.052650336
"81","MUS",-6.73762500214033,0.102091768804393,0.00253270998792408,0.000258568842535722,0.172177089
"82","MYS",-2.77374873130625,0.0594022797580096,0.00189562092298649,0.00011260420438238,0.438444541
"83","NAM",-7.17370732659222,0.101444386949525,0.00179131884059843,0.000181719241615641,0.168807564
"84","NGA",-7.45962616891386,0.0947432012351764,0.00159253113648505,0.000150881497937287,0.273594731
"85","NIC",-7.04965389943112,0.100203337113805,0.0011574973041379,0.000115985092574851,0.075359133
"86","NLD",-2.95581856950756,0.0614903049465801,0.00224642205686211,0.000138133177315175,0.061241731
"87","NOR",-2.88205311817269,0.0601890602745226,0.00190499200152599,0.000114659678402331,0.083299959
"88","NZL",-2.76083904146158,0.0589593250973706,0.00206193518075117,0.000121570306651614,0.080027509
"89","OMN",-2.78609295271222,0.0580345423284061,0.00134707323510747,7.81767786823075e-05,0.052607836
"90","PAK",-6.95283092792941,0.0942354062738106,0.00201018266273265,0.000189430379907182,0.003867799
"91","PAN",-2.92492133063314,0.0599457149137936,0.00139119234772216,8.33960198668039e-05,0.12274127
"92","PER",-3.40543700807697,0.0711067906214901,0.001530677306305,0.000108841550728496,0.221059492
"93","PHL",-6.79426916599923,0.100365300941136,0.00205241018875401,0.000205990766248949,0.363431578
"94","PNG",-7.03120776126577,0.0964706165319057,0.00216420959771188,0.000208782634195533,NA
"95","POL",-2.72617753950379,0.058904057758833,0.00403072660452106,0.000237426152722773,0.078851552
"96","PRT",-2.89677358449241,0.061188696496449,0.00273512713779451,0.000167358864313709,0.144323302
"97","ROU",-2.60705793839586,0.0598959477668615,0.00574712768758161,0.000344229659784872,0.019287628
"98","RUS",-2.65203800014687,0.0603875265889743,0.00567043536790249,0.000342423566550272,0.061851844
"99","SAU",-2.65433680597058,0.0580753884364508,0.00143617360228227,8.34063398147196e-05,0.044278474
"100","SDN",-6.76292855347129,0.0969546288280701,0.00140424403669678,0.000136147959361967,0.000649102
"101","SEN",-7.0438208658068,0.0978857188335459,0.00152721689890096,0.000149492723963659,0.446688488
"102","SGP",-2.79685874613249,0.0574587960247331,0.00113537879166763,6.52374984012382e-05,NA
"103","SLB",-6.61458453099791,0.106591455485377,0.00209653641157709,0.000223472867588092,0.851969356
"104","SLE",-7.32504490881106,0.0930959716284327,0.00215101716080298,0.000200251032574386,0.68829526
"105","SLV",-6.8973577058557,0.101693159011501,0.001769357546367,0.000179931558310899,0.074121386
"106","SOM",-7.66060705252672,0.109169811563023,0.0028743003400274,0.000313786826496326,NA
"107","SUR",-2.8947291314475,0.0594496718589703,0.00229078569275623,0.000136186457733582,0.213958252
"108","SVN",-2.77488249620321,0.0590746482596062,0.00307309569869658,0.000181542047468609,0.042394142
"109","SWE",-2.7485691422559,0.0594465191933231,0.00259688801968129,0.000154375953504895,0.072011547
"110","SYR",-6.38719814073329,0.111352985770081,0.00183855834293525,0.000204728960998332,NA
"111","TGO",-7.14119994549629,0.0981455965706461,0.00170273334252226,0.000167115779702578,0.298164722
"112","THA",-3.00513647130528,0.0615953262028608,0.00188039176172568,0.000115823343952666,0.336966486
"113","TLS",-6.79864404930092,0.101122662691412,0.00188489900401699,0.000190606006190589,0.093739793
"114","TON",-6.77325593044561,0.100683899567793,0.00174496718904916,0.00017569010121132,NA
"115","TTO",-2.88133731044919,0.0597441604378546,0.00295934232619336,0.00017680342272663,0.171706592
"116","TUN",-6.57478948651294,0.104654887794197,0.00281266387004783,0.000294359021722647,0.141013964
"117","TUR",-2.72449534695003,0.0585485575296835,0.00236582679818708,0.000138515746398923,0.04700508
"118","TZA",-7.24318388152651,0.098289791788883,0.00133235045780927,0.000130956449087896,0.009738952
"119","UKR",-2.46196688398824,0.0613339474383798,0.00813143811372886,0.000498733197865884,0.015645106
"120","URY",-2.91514964857154,0.0603034503876042,0.00281632184716407,0.000169833924785985,0.014969892
"121","USA",-2.82648782096147,0.0590795798320013,0.00266853702319664,0.000157656046096597,0.048006024
"122","VCT",-2.76231657754484,0.0587699644274187,0.00291533020521258,0.000171333852454523,0.138789777
"123","VEN",-2.85112843795711,0.05862419946715,0.0020853272600959,0.000122250641250147,0.057861455
"124","VNM",-6.70334064144131,0.111334238894363,0.00212082667901299,0.000236120624134771,0.241275615
"125","VUT",-6.61421671584553,0.104060805214657,0.00251830524444693,0.000262056871513441,0.488538424
"126","WSM",-6.55982237854802,0.106387509239455,0.00258029854789478,0.000274511535604708,0.377351355
"127","YEM",-6.84267050679343,0.0954283876214547,0.00192801023056901,0.000183986907620869,0.036940291
"128","ZAF",-7.1891164388493,0.101363553217387,0.00234328584527483,0.000237523779481065,0.053815932
