"","countrycode","year","unit_benefit","use_market_perkm2","use_nonmarket_perkm2","nonuse_perkm2"
"4358","MRT",2063,"Int2020$_perkm2_peryear",672623.091782361,440706.450795987,106309.436826631
"4359","MRT",2064,"Int2020$_perkm2_peryear",689741.289079408,447137.601570766,111341.905252456
"4360","MRT",2065,"Int2020$_perkm2_peryear",707295.142960775,453662.600983824,116612.600304373
"4361","MRT",2066,"Int2020$_perkm2_peryear",724332.183129296,459975.668937836,121919.377375735
"4362","MRT",2067,"Int2020$_perkm2_peryear",741779.604650769,466376.588142769,127467.653931815
"4363","MRT",2068,"Int2020$_perkm2_peryear",759647.292625725,472866.581117109,133268.420070809
"4364","MRT",2069,"Int2020$_perkm2_peryear",777945.370263013,479446.887391641,139333.166025555
"4365","MRT",2070,"Int2020$_perkm2_peryear",796684.204615253,486118.763746182,145673.904923537
"4366","MRT",2071,"Int2020$_perkm2_peryear",812593.529378481,492031.203519422,151811.243962035
"4367","MRT",2072,"Int2020$_perkm2_peryear",828820.554195197,498015.553588417,158207.153198766
"4368","MRT",2073,"Int2020$_perkm2_peryear",845371.623352511,504072.688565139,164872.526369109
"4369","MRT",2074,"Int2020$_perkm2_peryear",862253.207829292,510203.493699074,171818.7161688
"4370","MRT",2075,"Int2020$_perkm2_peryear",879471.907826132,516408.865006584,179057.553590237
"4371","MRT",2076,"Int2020$_perkm2_peryear",896364.015922469,522214.200872729,185715.511785762
"4372","MRT",2077,"Int2020$_perkm2_peryear",913580.572489982,528084.79883409,192621.035115762
"4373","MRT",2078,"Int2020$_perkm2_peryear",931127.80924409,534021.392550386,199783.328879221
"4374","MRT",2079,"Int2020$_perkm2_peryear",949012.077593421,540024.723928948,207211.940658898
"4375","MRT",2080,"Int2020$_perkm2_peryear",967239.850938746,546095.543217438,214916.773048587
"4376","MRT",2081,"Int2020$_perkm2_peryear",982104.497454767,551260.833864225,222007.843825143
"4377","MRT",2082,"Int2020$_perkm2_peryear",997197.585464209,556474.980847226,229332.88091361
"4378","MRT",2083,"Int2020$_perkm2_peryear",1012522.62568062,561738.446278212,236899.603914715
"4379","MRT",2084,"Int2020$_perkm2_peryear",1028083.18277058,567051.696639872,244715.987133523
"4380","MRT",2085,"Int2020$_perkm2_peryear",1043882.87618284,572415.202827161,252790.267983283
"4381","MRT",2086,"Int2020$_perkm2_peryear",1058016.55162037,577632.389997103,261551.839640711
"4382","MRT",2087,"Int2020$_perkm2_peryear",1072341.59027108,582897.128388313,270617.082553051
"4383","MRT",2088,"Int2020$_perkm2_peryear",1086860.58310147,588209.851398819,279996.521798985
"4384","MRT",2089,"Int2020$_perkm2_peryear",1101576.15615845,593570.996376792,289701.047250632
"4385","MRT",2090,"Int2020$_perkm2_peryear",1116490.97104439,598981.004656537,299741.926217089
"4386","MRT",2091,"Int2020$_perkm2_peryear",1129516.4797992,603996.353541187,309801.092980782
"4387","MRT",2092,"Int2020$_perkm2_peryear",1142693.95026505,609053.69661971,320197.839599446
"4388","MRT",2093,"Int2020$_perkm2_peryear",1156025.15529873,614153.385515162,330943.495058978
"4389","MRT",2094,"Int2020$_perkm2_peryear",1169511.88844001,619295.774794792,342049.768539543
"4390","MRT",2095,"Int2020$_perkm2_peryear",1183155.96415294,624481.221994688,353528.762174657
"4391","MRT",2096,"Int2020$_perkm2_peryear",1196110.12928212,629401.609517774,364707.687905362
"4392","MRT",2097,"Int2020$_perkm2_peryear",1209206.12727127,634360.765561873,376240.10221709
"4393","MRT",2098,"Int2020$_perkm2_peryear",1222445.51102327,639358.995590371,388137.182765012
"4394","MRT",2099,"Int2020$_perkm2_peryear",1235829.85044344,644396.607473444,400410.460652687
"4395","MRT",2100,"Int2020$_perkm2_peryear",1249360.73262572,649473.911507028,413071.831608472
"4396","MTQ",2026,"Int2020$_perkm2_peryear",3561213.8587533,369206.367070332,238195.252352092
"4397","MTQ",2027,"Int2020$_perkm2_peryear",3554664.67706286,368167.027338039,234461.777472396
"4398","MTQ",2028,"Int2020$_perkm2_peryear",3548127.53951877,367130.613414119,230786.821117062
"4399","MTQ",2029,"Int2020$_perkm2_peryear",3541602.42397143,366097.117062229,227169.466066125
"4400","MTQ",2030,"Int2020$_perkm2_peryear",3535089.30831204,365066.530069216,223608.809476135
"4401","MTQ",2031,"Int2020$_perkm2_peryear",3526325.87388198,363947.437820749,220028.454603608
"4402","MTQ",2032,"Int2020$_perkm2_peryear",3517584.16387702,362831.776090712,216505.427262327
"4403","MTQ",2033,"Int2020$_perkm2_peryear",3508864.12444269,361719.534363036,213038.809541658
"4404","MTQ",2034,"Int2020$_perkm2_peryear",3500165.70185793,360610.70215388,209627.698228256
"4405","MTQ",2035,"Int2020$_perkm2_peryear",3491488.84253488,359505.269011547,206271.204570751
"4406","MTQ",2036,"Int2020$_perkm2_peryear",3485789.79937411,358596.74302882,203358.401673338
"4407","MTQ",2037,"Int2020$_perkm2_peryear",3480100.05857529,357690.513033199,200486.731132411
"4408","MTQ",2038,"Int2020$_perkm2_peryear",3474419.60495448,356786.573222361,197655.612108548
"4409","MTQ",2039,"Int2020$_perkm2_peryear",3468748.42335251,355884.917808654,194864.471964492
"4410","MTQ",2040,"Int2020$_perkm2_peryear",3463086.49863497,354985.541019048,192112.746149333
"4411","MTQ",2041,"Int2020$_perkm2_peryear",3455465.11356332,354048.190459509,189488.400630286
"4412","MTQ",2042,"Int2020$_perkm2_peryear",3447860.50124928,353113.315003796,186899.904837721
"4413","MTQ",2043,"Int2020$_perkm2_peryear",3440272.62478021,352180.908116322,184346.769048437
"4414","MTQ",2044,"Int2020$_perkm2_peryear",3432701.44732471,351250.963278753,181828.510229071
"4415","MTQ",2045,"Int2020$_perkm2_peryear",3425146.93213245,350323.473989969,179344.651944708
"4416","MTQ",2046,"Int2020$_perkm2_peryear",3413809.34230797,349229.608533768,176729.918326026
"4417","MTQ",2047,"Int2020$_perkm2_peryear",3402509.28107589,348139.158611284,174153.305899269
"4418","MTQ",2048,"Int2020$_perkm2_peryear",3391246.62421266,347052.113557699,171614.258881131
"4419","MTQ",2049,"Int2020$_perkm2_peryear",3380021.24790596,345968.462741503,169112.229591293
"4420","MTQ",2050,"Int2020$_perkm2_peryear",3368833.02875331,344888.195564379,166646.678334272
"4421","MTQ",2051,"Int2020$_perkm2_peryear",3361554.46771268,343966.673072891,164318.909145598
"4422","MTQ",2052,"Int2020$_perkm2_peryear",3354291.63242942,343047.612839354,162023.654912815
"4423","MTQ",2053,"Int2020$_perkm2_peryear",3347044.48892709,342131.00828475,159760.461457579
"4424","MTQ",2054,"Int2020$_perkm2_peryear",3339813.00330271,341216.852847642,157528.880945646
"4425","MTQ",2055,"Int2020$_perkm2_peryear",3332597.1417265,340305.139984114,155328.471798236
"4426","MTQ",2056,"Int2020$_perkm2_peryear",3323352.50241513,339379.069559721,153315.346592243
"4427","MTQ",2057,"Int2020$_perkm2_peryear",3314133.50777438,338455.519245458,151328.31237297
"4428","MTQ",2058,"Int2020$_perkm2_peryear",3304940.08666582,337534.482183365,149367.03098977
"4429","MTQ",2059,"Int2020$_perkm2_peryear",3295772.16814835,336615.951534143,147431.168674582
"4430","MTQ",2060,"Int2020$_perkm2_peryear",3286629.68147768,335699.920477106,145520.395985121
"4431","MTQ",2061,"Int2020$_perkm2_peryear",3279498.25967098,334939.253057942,143903.620014714
"4432","MTQ",2062,"Int2020$_perkm2_peryear",3272382.31182452,334180.309246342,142304.806918313
"4433","MTQ",2063,"Int2020$_perkm2_peryear",3265281.80436247,333423.08513676,140723.757122914
"4434","MTQ",2064,"Int2020$_perkm2_peryear",3258196.70378182,332667.576832498,139160.273272822
"4435","MTQ",2065,"Int2020$_perkm2_peryear",3251126.97665228,331913.780445686,137614.160205031
"4436","MTQ",2066,"Int2020$_perkm2_peryear",3248647.33566182,331396.080981712,136337.686190421
"4437","MTQ",2067,"Int2020$_perkm2_peryear",3246169.58589846,330879.188994713,135073.052424719
"4438","MTQ",2068,"Int2020$_perkm2_peryear",3243693.72591975,330363.10322523,133820.14908078
"4439","MTQ",2069,"Int2020$_perkm2_peryear",3241219.75428436,329847.822415779,132578.867350192
"4440","MTQ",2070,"Int2020$_perkm2_peryear",3238747.66955203,329333.345310826,131349.099433818
"4441","MTQ",2071,"Int2020$_perkm2_peryear",3239402.05716041,329076.345343383,130568.363772411
"4442","MTQ",2072,"Int2020$_perkm2_peryear",3240056.57698753,328819.545929525,129792.268783652
"4443","MTQ",2073,"Int2020$_perkm2_peryear",3240711.22906009,328562.946912748,129020.786883501
"4444","MTQ",2074,"Int2020$_perkm2_peryear",3241366.01340485,328306.54813667,128253.890651881
"4445","MTQ",2075,"Int2020$_perkm2_peryear",3242020.9300485,328050.349445028,127491.552831692
"4446","MTQ",2076,"Int2020$_perkm2_peryear",3242283.08862077,327794.75696731,126769.094002368
"4447","MTQ",2077,"Int2020$_perkm2_peryear",3242545.26839188,327539.363628275,126050.729144359
"4448","MTQ",2078,"Int2020$_perkm2_peryear",3242807.46936357,327284.16927277,125336.435058278
"4449","MTQ",2079,"Int2020$_perkm2_peryear",3243069.69153753,327029.173745759,124626.188676202
"4450","MTQ",2080,"Int2020$_perkm2_peryear",3243331.9349155,326774.376892334,123919.967060934
"4451","MTQ",2081,"Int2020$_perkm2_peryear",3247003.96590767,326718.583955897,123458.852004607
"4452","MTQ",2082,"Int2020$_perkm2_peryear",3250680.15429474,326662.80054546,122999.45279037
"4453","MTQ",2083,"Int2020$_perkm2_peryear",3254360.50478363,326607.026659393,122541.763033451
"4454","MTQ",2084,"Int2020$_perkm2_peryear",3258045.02208655,326551.262296069,122085.776372838
"4455","MTQ",2085,"Int2020$_perkm2_peryear",3261733.71092108,326495.507453864,121631.486471185
"4456","MTQ",2086,"Int2020$_perkm2_peryear",3268384.69157421,326653.131187208,121493.673455704
"4457","MTQ",2087,"Int2020$_perkm2_peryear",3275049.23420009,326810.831017285,121356.016587517
"4458","MTQ",2088,"Int2020$_perkm2_peryear",3281727.36645283,326968.60698083,121218.515689699
"4459","MTQ",2089,"Int2020$_perkm2_peryear",3288419.11604296,327126.459114602,121081.170585533
"4460","MTQ",2090,"Int2020$_perkm2_peryear",3295124.5107375,327284.387455372,120943.981098497
"4461","MTQ",2091,"Int2020$_perkm2_peryear",3301179.71028917,327414.558317654,120788.602650298
"4462","MTQ",2092,"Int2020$_perkm2_peryear",3307246.03702023,327544.780952809,120633.423818994
"4463","MTQ",2093,"Int2020$_perkm2_peryear",3313323.51137828,327675.055381431,120478.444348136
"4464","MTQ",2094,"Int2020$_perkm2_peryear",3319412.15384848,327805.381624118,120323.663981603
"4465","MTQ",2095,"Int2020$_perkm2_peryear",3325511.98495357,327935.759701479,120169.082463603
"4466","MTQ",2096,"Int2020$_perkm2_peryear",3331693.16165661,328106.256791212,120112.579454426
"4467","MTQ",2097,"Int2020$_perkm2_peryear",3337885.82740121,328276.842524091,120056.103012731
"4468","MTQ",2098,"Int2020$_perkm2_peryear",3344090.00354224,328447.516946204,119999.653126029
"4469","MTQ",2099,"Int2020$_perkm2_peryear",3350305.71147422,328618.28010366,119943.229781831
"4470","MTQ",2100,"Int2020$_perkm2_peryear",3356532.97263145,328789.132042593,119886.832967657
"4471","MUS",2026,"Int2020$_perkm2_peryear",7705165.5122799,622528.15097901,545637.023721099
"4472","MUS",2027,"Int2020$_perkm2_peryear",7802979.90812099,627798.917419505,563041.382575226
"4473","MUS",2028,"Int2020$_perkm2_peryear",7902036.02369135,633114.309920407,581000.89383646
"4474","MUS",2029,"Int2020$_perkm2_peryear",8002349.62219095,638474.706317706,599533.265378882
"4475","MUS",2030,"Int2020$_perkm2_peryear",8103936.66692821,643880.487646425,618656.7699103
"4476","MUS",2031,"Int2020$_perkm2_peryear",8188127.90851413,648362.986179532,634912.741087209
"4477","MUS",2032,"Int2020$_perkm2_peryear",8273193.80712798,652876.690493036,651595.857996222
"4478","MUS",2033,"Int2020$_perkm2_peryear",8359143.44952162,657421.817832013,668717.344419332
"4479","MUS",2034,"Int2020$_perkm2_peryear",8445986.01684845,661998.586953929,686288.719057252
"4480","MUS",2035,"Int2020$_perkm2_peryear",8533730.78564428,666607.218139177,704321.803278815
"4481","MUS",2036,"Int2020$_perkm2_peryear",8607531.4667674,670560.649814081,720384.009464604
"4482","MUS",2037,"Int2020$_perkm2_peryear",8681970.38463254,674537.528012788,736812.517625359
"4483","MUS",2038,"Int2020$_perkm2_peryear",8757053.0587842,678537.991789046,753615.681354316
"4484","MUS",2039,"Int2020$_perkm2_peryear",8832785.05650042,682562.181021278,770802.044750153
"4485","MUS",2040,"Int2020$_perkm2_peryear",8909171.9932058,686610.236417489,788380.346761489
"4486","MUS",2041,"Int2020$_perkm2_peryear",8974124.59222327,690104.033805848,804015.919583677
"4487","MUS",2042,"Int2020$_perkm2_peryear",9039550.73020964,693615.609286557,819961.585292488
"4488","MUS",2043,"Int2020$_perkm2_peryear",9105453.85951561,697145.053322951,836223.493812786
"4489","MUS",2044,"Int2020$_perkm2_peryear",9171837.45766145,700692.456838687,852807.917038007
"4490","MUS",2045,"Int2020$_perkm2_peryear",9238705.02752041,704257.911220084,869721.25124904
"4491","MUS",2046,"Int2020$_perkm2_peryear",9299782.53482754,707633.570050323,886464.694095239
"4492","MUS",2047,"Int2020$_perkm2_peryear",9361263.82836745,711025.409135487,903530.473411808
"4493","MUS",2048,"Int2020$_perkm2_peryear",9423151.57758966,714433.506031003,920924.794660879
"4494","MUS",2049,"Int2020$_perkm2_peryear",9485448.46959154,717857.938664033,938653.98276903
