"","ISO3","HealthBenefit_PercentageGDP_intercept","HealthBenefit_PercentageGDP_intercept_se","HealthBenefit_PercentageGDP_perDegreeC","HealthBenefit_PercentageGDP_perDegreeC_se"
"33","FRA",1.30582147554319,0.139221821589631,-0.0384290222521299,4.08098210630778e-17
"34","GAB",3.3461903934153,0.331215315064856,-0.234320214869531,3.4803295122165e-16
"35","GBR",1.04176039887652,0.110597338687771,-0.030496025167879,5.10703167944156e-17
"36","GEO",3.24735741029808,0.36516017792644,-0.0869476369969525,1.28206118239554e-16
"37","GHA",8.75795641089778,0.901871753382205,-0.61752627250314,6.09358716472733e-16
"38","GIN",4.43857400545055,0.442591572520413,-0.323998064438495,1.7181104397792e-16
"39","GMB",5.78210172891766,0.562268854384702,-0.410944463580093,1.55838741967231e-16
"40","GNB",0.370567609906473,0.0364340202841196,-0.0268147579873914,2.09462920356659e-17
"41","GRC",1.80269625705584,0.198833029673136,-0.0493173619434184,1.74600502927938e-16
"42","GRD",4.36142092077104,0.459993375811893,-0.127843483656626,2.04170495583158e-16
"43","GTM",0.148542208798263,0.0151992876688308,-0.0106146104570475,3.04644606836864e-18
"44","GUY",6.47790334356909,0.655658844758855,-0.440785767182708,9.30653403892489e-17
"45","HND",0.28613396245946,0.0293477522468708,-0.0194441769167319,1.03034193085823e-17
"46","HRV",4.76836714264753,0.526874446116571,-0.126612142107812,4.52814593300465e-16
"47","HTI",3.48185998110467,0.349781389913479,-0.241061987698702,1.87025614376298e-16
"48","IDN",9.3372713914749,0.996906505518564,-0.624284984900332,2.42436009319112e-16
"49","IND",0.652491017327488,0.06396560095631,-0.044465262800771,5.41099561420665e-17
"50","IRL",0.756553846368779,0.0804730654820337,-0.0216162210094941,2.757308687502e-17
"51","IRN",0.932121862320841,0.0992252604559359,-0.0254914814102572,8.74482024252575e-17
"52","ISL",4.21019246573561,0.455878082247541,-0.115960458803137,2.51178653129162e-16
"53","ISR",0.273409447866083,0.0289000433311391,-0.00815143036809028,3.92502294657705e-17
"54","ITA",2.61029389404337,0.279771168009234,-0.0720463160035738,1.03977715687203e-16
"55","JAM",3.90140150013004,0.419067405487847,-0.112525412317071,1.36286791109587e-16
"56","JOR",0.846395594235718,0.0844991876413209,-0.0571633152461106,8.38414003446044e-17
"57","JPN",8.99695056286708,0.976102415563178,-0.2627283125279,7.44754192954222e-16
"58","KEN",9.58623168442523e-10,1.00497994169782e-10,-7.03518611533336e-11,7.83581313979042e-26
"59","KHM",3.39060686910183,0.347258493509107,-0.232845817890768,2.42764603800923e-16
"60","KOR",4.88883109585969,0.516888882799464,-0.145337211224586,2.7081313162315e-16
"61","KWT",0.625105866656177,0.067388586538545,-0.0165200566550647,6.09877361463301e-17
"62","LBN",1.98437278292505,0.208224509192439,-0.0578336870873088,2.37453666181725e-16
"63","LBR",0.922071545355824,0.0904462262493089,-0.0667206130280778,5.99556222759365e-17
"64","LCA",4.24930312982185,0.460798435698784,-0.125070400690615,1.11477589532907e-16
"65","LKA",10.8559708694074,1.1626440560983,-0.721540033201961,8.31075436603972e-16
"66","LTU",9.81150331553757,1.11210593023874,-0.252144800986174,2.42649202392101e-16
"67","LVA",6.78715073140877,0.770756653595219,-0.176623642534528,1.74862524822137e-16
"68","MAR",5.94607025581641,0.643244949126297,-0.382697551447802,3.56932610013156e-16
"69","MDG",1.53007088111346,0.151390854797133,-0.108660901082937,6.98067217261311e-17
"70","MDV",10.7825227240916,1.13784807549429,-0.722218668837025,5.50370627437736e-16
"71","MEX",1.19900711031893,0.125341595996283,-0.0362325027279813,7.34757136755226e-17
"72","MLT",2.99167942876176,0.32296622475239,-0.0811536782858204,2.07374433224638e-16
"73","MOZ",4.82827175495222,0.509312838966364,-0.358179919489851,1.53435345334774e-16
"74","MRT",0.631008331237293,0.0618143870292234,-0.0439643376484789,1.05543949146139e-17
"75","MUS",3.75495765541034,0.382541506225168,-0.252994965810709,6.30995013248049e-17
"76","MYS",7.15665992468802,0.775140034507249,-0.198507763864947,6.61597789749127e-16
"77","NAM",2.60380835589376,0.265851776413022,-0.186789590797171,7.23900788402016e-17
"78","NGA",3.75180174802596,0.374218665907049,-0.279870385001512,4.61841059594198e-17
"79","NIC",0.751104045915987,0.0754591027061417,-0.0529502356617001,7.25034599531457e-17
"80","NLD",1.18463083307206,0.128457662179954,-0.0350155381440552,5.94198150843369e-17
"81","NOR",1.36641356269018,0.147244261260816,-0.0393807646906456,7.41942750694963e-17
"82","NZL",1.42088368440759,0.153918890938308,-0.0392283114928816,6.87101518186859e-17
"83","OMN",0.610219195191018,0.063884582448021,-0.0170012739933139,2.61287679504325e-17
"84","PAK",0.0669489298902693,0.00637912286776551,-0.00465484590332834,5.12452960418382e-18
"85","PAN",1.47035435641416,0.155156138505946,-0.0430067082066494,1.14629225782227e-16
"86","PER",2.91364764988837,0.326522878479928,-0.0992224353542612,1.21431104158355e-16
"87","PHL",6.42289824292956,0.644227970988073,-0.436388994882863,5.33207312806505e-16
"88","POL",2.73676689329308,0.296688996410326,-0.0746091243535253,3.6495805758555e-16
"89","PRT",3.39905502452469,0.371199571092645,-0.0984629280727941,1.00821675824762e-16
"90","ROU",0.954495504602516,0.107733454539502,-0.024884250824371,3.26488467243885e-17
"91","RUS",3.02004404193442,0.34128168521615,-0.0800927156132696,1.80160472256018e-16
"92","SAU",0.547575243324941,0.0590612036100202,-0.0145344912239565,3.02221850753123e-17
"93","SDN",0.00784873661456555,0.000767675032997218,-0.000530804449593199,5.98924710367414e-19
"94","SEN",5.87421314593853,0.579975126700923,-0.413769051275584,1.48707634478036e-16
"95","SLB",15.3805052909303,1.63214639788542,-1.01735652376318,9.04715178778558e-16
"96","SLE",12.7486111230837,1.24467551033303,-0.933841490015549,5.98585636146184e-16
"97","SLV",1.12928446594333,0.114705707226605,-0.0778907891327734,3.54374658579856e-17
"98","SUR",4.22043992760129,0.444793821540485,-0.122170304059522,4.61400000704096e-16
"99","SVN",1.1218276882242,0.120810362050646,-0.0311294001580944,1.95832579625171e-17
"100","SWE",1.6102732688361,0.17566937480151,-0.044259474173223,8.11331466663491e-17
"101","TGO",4.37166744883238,0.433963289419668,-0.312189513473295,9.40440934388464e-17
"102","THA",5.45606164666634,0.585176988156868,-0.163962098440868,2.99681295321818e-16
"103","TLS",1.52144513202206,0.154166340803092,-0.103437638931597,8.66795174796303e-17
"104","TTO",4.37548696215586,0.462728428834495,-0.126072538354432,2.50697845832199e-16
"105","TUN",3.41526317563913,0.355513253199157,-0.224546364208672,2.28255395408096e-16
"106","TUR",0.957573156064265,0.102761722099555,-0.0260890360806134,4.00571640943141e-17
"107","TZA",0.111731317719572,0.0111292316121515,-0.00809290479568115,5.60341817905379e-18
"108","UKR",1.09544377275162,0.129177687549525,-0.0269694629178567,5.0338663915423e-17
"109","URY",0.363032219771912,0.038765438372829,-0.0105829324788813,6.03858623737242e-17
"110","USA",1.10309569668708,0.116862554293934,-0.0311788655204097,4.26365284656936e-17
"111","VCT",3.48409068256792,0.371787796768021,-0.0962416145012666,1.35565587082829e-16
"112","VEN",1.03898144281663,0.108321112598073,-0.0296226953812418,2.56239926293602e-17
"113","VNM",4.4061860294889,0.489465223352975,-0.295361658852238,5.55063873827168e-17
"114","VUT",10.5937889548176,1.09839947631196,-0.700696159890935,5.49963351551209e-16
"115","WSM",8.38417030962263,0.887866528411316,-0.549986680226196,4.69456956142063e-16
"116","YEM",0.613273030236931,0.0593742988298948,-0.0419642527661401,4.44915271123046e-17
"117","ZAF",1.085876301229,0.110763670305427,-0.0780649116772223,3.49919824441272e-17
