"","country_iso3","GDP_FractionChange_perC","GDP_FractionChange_perC_se","pval"
"106","PRT",-1.43313879708665e-05,1.55040713450199e-06,8.34006282600269e-14
"107","PYF",-0.000219111750247346,0.000155966482763425,0.164421758330442
"108","QAT",-1.95562551525895e-05,2.04460783375145e-06,2.14180692164905e-14
"109","ROU",-4.65165853190822e-06,7.71521429118349e-07,6.68333601302663e-08
"110","RUS",7.22895579501641e-05,7.25818909572796e-06,4.06264180070681e-15
"111","SAU",-1.94751227108585e-05,1.4639919619593e-06,5.81568755015846e-21
"112","SDN",-1.26194831578878e-05,1.44377081403418e-06,7.08357184584766e-13
"113","SEN",-0.000117800116682614,1.26721176236458e-05,6.6789170494099e-14
"114","SGP",-1.46497062506526e-06,1.11782074450075e-07,1.24045672709174e-20
"115","SLB",-0.00152140554775875,0.000290854339783359,1.63201561434503e-06
"116","SLE",-0.000356489510906855,6.48173893589681e-05,5.65477609875111e-07
"117","SLV",-0.00018080200234027,2.0126124744687e-05,2.51878158973665e-13
"118","SOM",-3.92318928730056e-05,3.27077041246279e-05,0.234333004888487
"119","STP",-0.000277361140076181,0.0016229779183053,0.864791294379532
"120","SUR",-0.000168808178056749,2.56608305109804e-05,6.89678626215967e-09
"121","SVN",-9.98051558255787e-08,1.54383663082603e-08,1.10774180067497e-08
"122","SWE",7.66610300705364e-06,1.479307119e-06,1.97206075611533e-06
"123","SYR",-1.72744267340852e-06,1.6137941991613e-07,1.83082235351865e-16
"124","TGO",-6.69807861440974e-05,3.73914044883992e-05,0.0775001421996878
"125","THA",-4.13025165322063e-05,3.23676584649261e-06,4.72736099724434e-20
"126","TKM",0,0,NA
"127","TLS",-0.000122732595203825,2.35135433266179e-05,1.7046282505852e-06
"128","TON",-0.000867136123419927,0.000364149097651288,0.0199377427996157
"129","TTO",-8.41367958413038e-05,1.08114450351079e-05,4.23637511139566e-11
"130","TUN",-8.53396973326319e-05,4.57458906871508e-06,4.4097284089316e-29
"131","TUR",-3.72902771761266e-06,2.48549903257931e-07,1.03842397667319e-23
"132","TWN",-8.34833493102073e-05,6.49818321962571e-06,3.37267221282648e-20
"133","TZA",2.58297625150639e-07,4.07355762826213e-07,0.528063923888483
"134","UKR",5.87260800889825e-07,1.23414924623022e-06,0.635647409382228
"135","URY",-8.28710865162067e-05,9.94684795472163e-06,4.06150368448368e-12
"136","USA",-1.21504070117974e-05,1.5289882078381e-06,2.09960012022811e-11
"137","VCT",-0.000681645485675743,8.35021695255313e-05,8.32965753905711e-12
"138","VEN",-9.48410743028465e-06,9.82046901849363e-07,1.44843331512992e-14
"139","VNM",-3.1853182485013e-05,3.85362558751245e-06,5.37519339644332e-12
"140","VUT",-6.45398228987924e-05,4.1535558325408e-05,0.124667881342669
"141","WSM",-0.000261982015139664,2.34128957047642e-05,2.4958919553213e-17
"142","YEM",-1.68097458703732e-05,1.41981957735299e-06,1.80306782085618e-18
"143","ZAF",-6.01270105130172e-06,1.62398224246687e-06,0.000418651296098702
