"","ISO3","HealthBenefit_PercentageGDP_intercept","HealthBenefit_PercentageGDP_intercept_se","HealthBenefit_PercentageGDP_perDegreeC","HealthBenefit_PercentageGDP_perDegreeC_se"
"41","GRC",0.72972446636497,0.0862284774455616,0.0220005472636094,0.0078359119793873
"42","GRD",5.56018218572132,0.602876068974644,-0.0425572681723964,0.0389748771029116
"43","GTM",0.274215461508227,0.0275493544081069,-0.0326449626853669,0.00271456163053417
"44","GUY",17.1319598752704,1.6076398845863,-3.02433968866473,0.135480115038515
"45","HND",0.863323903653114,0.0857547863461429,-0.132175069546186,0.0113344442077665
"46","HRV",3.90472004572166,0.461215116696369,0.162512534087205,0.0275304218762529
"47","HTI",21.5464631906617,1.9285395124544,-6.46572201045735,0.335364309704337
"48","IDN",14.6259530542647,1.40367904705498,-3.49421369311569,0.172881491057931
"49","IND",1.14265321062123,0.104310420828541,-0.24030286735248,0.015457373167891
"50","IRL",0.304709088626113,0.0371843001952608,0.0316400304110303,0.00387784531505148
"51","IRN",1.15503949188842,0.126043549631688,-0.00797051879328889,0.00724287237915748
"52","ISL",1.4387014629298,0.176116934913728,0.143853161903463,0.0136792973490788
"53","ISR",0.220504660701027,0.0280521860224813,0.0350655716133799,0.00300748577127865
"54","ITA",0.979715742062283,0.113882165509556,0.0340452874142103,0.0125114160995092
"55","JAM",4.25929149349735,0.442185579481674,-0.318351293803986,0.021077446259195
"56","JOR",1.54388481360692,0.145644216879656,-0.216768727545781,0.00719528525250827
"57","JPN",4.61283800239625,0.574533217137264,0.458372515317,0.0635608708743581
"58","KEN",6.04552599260933e-09,5.63013079589255e-10,-1.93561634885577e-09,9.75929957589851e-11
"59","KHM",10.9135801023117,1.00067199116379,-3.18115272494889,0.172177292944891
"60","KOR",3.32363247015906,0.404135868660843,0.341157009470814,0.0445199217821422
"61","KWT",0.334342802813017,0.0443319948140376,0.0604549595548929,0.00521051634649112
"62","LBN",1.87050957993405,0.205718710638375,0.0368844191423672,0.0101264923764845
"63","LBR",14.9063575411632,1.31762942787935,-5.84450665705172,0.312891647076071
"64","LCA",4.41909628860014,0.489350689804404,-0.0509174443780978,0.0243654926752592
"65","LKA",36.8090565320172,3.79834484434356,-5.7207117705871,0.478767403350595
