"","iso3","GDP_FractionChange_perC","GDP_FractionChange_perC_se","pval"
"44","GEO",-0.00083219127807842,4.18546486668531e-05,1.05015011562902e-06
"45","GHA",-0.00162060978048518,0.000145052565839644,3.06784191206196e-05
"46","GIN",-0.00412047065397154,0.00032603549797759,1.50366860276635e-05
"47","GMB",-0.000738836556901874,0.000135785452933466,0.00160054752930261
"48","GNB",-0.00237678296613797,0.000337308762080962,0.000408590640088909
"49","GNQ",-0.00420794607460079,0.000288432774062973,6.50798294971319e-06
"50","GRC",2.94665814572057e-05,3.11558230657519e-05,0.380773904115985
"51","GRD",-0.00274497375242533,0.000456091617010446,0.000949098662304453
"52","GTM",-0.000667391874331655,4.69893210693889e-05,7.61355659125802e-06
"53","GUY",-0.0406072759936625,0.00234381437809329,2.3694700472891e-06
"54","HKG",-0.00745508999444084,0.000322735787328834,4.31439557162356e-07
"55","HND",-0.000934060521006543,0.000118824193332563,0.000224241102906363
"56","HRV",-0.000341410222554646,1.63169277380347e-05,7.76165920919267e-07
"57","HTI",-0.00014371553312818,0.000146037321894371,0.363069469054145
"58","IDN",-0.000699893310576597,4.81321228056218e-05,6.63456330113743e-06
"59","IND",-0.000557704444958948,3.8278227750531e-05,6.55848265774264e-06
"60","IRL",-0.0017922299104654,6.12875888003908e-05,1.05975417554388e-07
"61","IRN",-0.000331404717600955,1.73771888270713e-05,1.3439154734796e-06
"62","IRQ",3.92187386738472e-05,6.07861324848303e-05,0.542671169377813
"63","ISL",-0.00106120562834735,7.4810834057055e-05,7.66981158158667e-06
"64","ISR",-0.00045303068333877,1.90636154300879e-05,3.64518736382931e-07
"65","ITA",-0.00032758310711449,1.53476600015551e-05,6.89777515776215e-07
"66","JAM",-0.00153865295234158,0.00048577439487483,0.0193819002874105
"67","JOR",-0.000207035085790039,5.25267842050259e-05,0.00761138416790287
"68","JPN",-0.00265295914105393,0.000159500144299616,3.01314616203843e-06
"69","KEN",-0.000979307780228049,8.5160422248236e-05,2.5977726643166e-05
"70","KHM",-0.000725836871108218,0.000181560509052263,0.00713709984224482
"71","KOR",-0.00331512901630467,0.000190012858920122,2.27374046478515e-06
"72","KWT",-0.000439723832836395,0.000187409078755184,0.0573452974404801
"73","LBN",-0.000260096198572521,4.30904573945356e-05,0.000934667198611999
"74","LBR",0.000832913552018477,0.000409635487011584,0.0882589833397023
"75","LBY",-0.000242918773216743,8.54066919701988e-05,0.0294021635845042
"76","LCA",-0.00266617231186201,0.000281479761258026,7.8849432921916e-05
"77","LKA",-0.00146198232874803,9.46484473662043e-05,4.6559580173e-06
"78","LTU",-0.000910979088619277,9.77420488156172e-05,8.64043441593519e-05
"79","LVA",-0.000251033519927555,8.74618058255959e-05,0.0284193776534901
"80","MAC",-0.00476019788646018,0.000305009527136729,4.38210859891839e-06
"81","MAR",-0.00141634506085072,7.77730459653032e-05,1.76530264550536e-06
"82","MDG",-0.0016608019757739,0.00023611234509369,0.000412506900422309
"83","MDV",-0.00260149324437607,6.18950568766308e-05,1.21349443253311e-08
"84","MEX",-0.00143859965081912,0.000100931038594007,7.45793697207926e-06
"85","MLT",-0.00535593070271662,0.000307968149417094,2.31701724998889e-06
"86","MMR",-0.00198743139494523,0.000279750001323356,0.000390781292506822
"87","MNE",-0.000618798700515499,2.59990405350239e-05,3.61192260023262e-07
"88","MOZ",-0.00197695149909937,0.00040374583096819,0.00272041374037245
"89","MRT",-0.00220805620369043,6.77216310840483e-05,5.53593336199761e-08
"90","MUS",-0.0224299113836812,0.0012482691238734,1.91069998691506e-06
"91","MYS",-0.00334129425933199,0.000160208548774109,7.91240949010039e-07
"92","NCL",0,0,NA
"93","NGA",-0.000530125381911711,4.55406312903707e-05,2.4210670454332e-05
"94","NIC",-0.00181449330781845,0.000163342666265476,3.1711114865506e-05
"95","NLD",-0.000787769706430826,7.27137709405516e-05,3.66214793785687e-05
"96","NOR",-0.000843834146910355,9.68413535638145e-05,0.000126280633937413
"97","NZL",-0.0039197324574306,0.000328544392710169,2.10007724244863e-05
"98","OMN",-0.00642316323160267,0.00115740581616332,0.00144660774521955
"99","PAK",-0.000433830951689271,3.82089888810349e-05,2.79565414532977e-05
"100","PAN",-0.003950367201319,0.000234719074708017,2.81103920066071e-06
"101","PER",-0.000905053054023966,7.83565050930863e-05,2.53239378930243e-05
"102","PHL",-0.00302177228377085,0.000235704993851459,1.38373068092775e-05
"103","PNG",0.0019234207790431,0.000208922274897535,9.26244290978735e-05
"104","POL",-0.000316459871793204,8.3668550983828e-06,2.28030927908879e-08
"105","PRT",-0.000676962349607151,2.68091912005222e-05,2.54062310922261e-07
"106","PYF",0,0,NA
"107","QAT",-0.000585713296861086,0.000168802690474019,0.0133068837187813
"108","RUS",-0.000332099017438747,1.09244528144008e-05,8.40849085160755e-08
"109","SAU",-0.0014647428667179,0.000125978534901018,2.43770003579806e-05
"110","SDN",-4.56808366156912e-05,2.74557563529987e-05,0.147210461098355
"111","SEN",-0.00214120986461561,0.000153924342591435,8.59741958458992e-06
"112","SGP",-0.0108710370760766,0.000501691875650427,6.30699388929216e-07
"113","SLB",-1.76802619148664e-05,0.000355776157132363,0.961978519787213
"114","SLE",-0.00160696461807832,0.00019371459685342,0.000166279458628276
"115","SLV",-0.00179600273657317,0.000179883858579964,5.84432340674599e-05
"116","SOM",-0.00253700174836064,0.000190802706117459,1.11898180647692e-05
"117","SUR",-0.00607518129009545,0.000285884397229023,7.08013069700749e-07
"118","SVN",-0.00165661916225623,9.75052534529886e-05,2.65874460397657e-06
"119","SWE",-0.000504610019760884,5.73598954581523e-05,0.00011967796218199
"120","SYR",0,0,NA
"121","TGO",-0.00512710446251255,0.000752527838757597,0.000490244875105518
"122","THA",-0.00212409661402694,0.000121662264581115,2.26446626250493e-06
"123","TON",0.000581064271050496,0.000400952532951763,0.197453760602156
"124","TTO",-0.0130569469916069,0.00127191633120455,4.98693547706237e-05
"125","TUN",-0.00123353053727998,7.25006834531923e-05,2.63671550143274e-06
"126","TUR",-0.000607262645145864,2.80597848955227e-05,6.35384400911294e-07
"127","TZA",-0.00108828969168381,0.000101222234249355,3.82619022340025e-05
"128","UKR",-0.000212799200766173,1.65559582781947e-05,1.36308368500878e-05
"129","URY",-0.00335152719042357,0.000585099916303372,0.00122847749598924
"130","USA",-0.000737337438442888,2.74123765465359e-05,1.74409439016786e-07
"131","VCT",-0.00334679471256722,0.000490368986764377,0.000485656770883755
"132","VEN",0,0,NA
"133","VNM",-0.00227875405195142,0.000183106458777162,1.64433191369491e-05
"134","VUT",0.00503830542478119,0.000507076063839274,6.00791822489358e-05
"135","WSM",-0.000405682237716962,0.000418060453076126,0.369327726056461
"136","YEM",0,0,NA
"137","ZAF",-0.00196742769887283,0.000159450629125139,1.72815060160583e-05
