country,iso_a3,continent,oc_capital,percentage_of_YGROSS,quantile_group
Ashmore and Cartier Is.,-99,Oceania,Mangroves,NA,NA
Ashmore and Cartier Is.,-99,Oceania,Ports,NA,NA
Heard I. and McDonald Is.,HMD,Seven seas (open ocean),Corals,NA,NA
Heard I. and McDonald Is.,HMD,Seven seas (open ocean),Fisheries & Mariculture,NA,NA
Heard I. and McDonald Is.,HMD,Seven seas (open ocean),Mangroves,NA,NA
Heard I. and McDonald Is.,HMD,Seven seas (open ocean),Ports,NA,NA
Indian Ocean Ter.,-99,Asia,Corals,NA,NA
Indian Ocean Ter.,-99,Asia,Fisheries & Mariculture,NA,NA
Indian Ocean Ter.,-99,Asia,Mangroves,NA,NA
Indian Ocean Ter.,-99,Asia,Ports,NA,NA
Norfolk Island,NFK,Oceania,Corals,NA,NA
Norfolk Island,NFK,Oceania,Fisheries & Mariculture,NA,NA
Norfolk Island,NFK,Oceania,Mangroves,NA,NA
Norfolk Island,NFK,Oceania,Ports,NA,NA
Kiribati,KIR,Oceania,Corals,NA,NA
Kiribati,KIR,Oceania,Fisheries & Mariculture,NA,NA
Kiribati,KIR,Oceania,Mangroves,NA,NA
Kiribati,KIR,Oceania,Ports,NA,NA
Malawi,MWI,Africa,Corals,NA,NA
Malawi,MWI,Africa,Fisheries & Mariculture,NA,NA
Malawi,MWI,Africa,Mangroves,NA,NA
Malawi,MWI,Africa,Ports,NA,NA
Marshall Is.,MHL,Oceania,Corals,NA,NA
Marshall Is.,MHL,Oceania,Fisheries & Mariculture,NA,NA
Marshall Is.,MHL,Oceania,Mangroves,NA,NA
Marshall Is.,MHL,Oceania,Ports,NA,NA
Tuvalu,TUV,Oceania,Corals,NA,NA
Tuvalu,TUV,Oceania,Fisheries & Mariculture,NA,NA
Tuvalu,TUV,Oceania,Mangroves,NA,NA
Tuvalu,TUV,Oceania,Ports,NA,NA
Monaco,MCO,Europe,Corals,NA,NA
Monaco,MCO,Europe,Fisheries & Mariculture,NA,NA
Monaco,MCO,Europe,Mangroves,NA,NA
Monaco,MCO,Europe,Ports,NA,NA
Vatican,VAT,Europe,Corals,NA,NA
Vatican,VAT,Europe,Fisheries & Mariculture,NA,NA
Vatican,VAT,Europe,Mangroves,NA,NA
Vatican,VAT,Europe,Ports,NA,NA
