"","iso_a3","GDP_FractionChange_perC","GDP_FractionChange_perC_se"
"206","MMR",-0.00198743139494523,0.000279750001323356
"207","BDI",NA,NA
"208","BFA",NA,NA
"209","BGR",-0.000237730338085386,1.08533321635272e-05
"210","BRN",0.000203204181880007,0.000230341057274705
"211","BRA",-0.00128527732222783,8.05921765482943e-05
"212","BWA",NA,NA
"213","BIH",NA,NA
"214","BOL",NA,NA
"215","BTN",NA,NA
"216","BEN",-0.0013845573404992,0.000199323477315825
"217","BLZ",-0.00220419176857833,0.000230236493024222
"218","BEL",-0.00124166604101879,8.6997221780638e-05
"219","BLR",NA,NA
"220","BRB",-0.00178999667643091,0.000117426215475221
"221","BGD",-0.000799210366465584,8.07492738238969e-05
"222","BHR",-0.000781360422257762,7.51291008717462e-05
"223","BHS",-0.00677226043154794,0.000953429112032001
"224","AZE",NA,NA
"225","AUT",NA,NA
"226","AUS",-0.00107857184745889,0.000159198438124354
"227","-99",NA,NA
"228","HMD",NA,NA
"229","NFK",NA,NA
"230","-99",NA,NA
"231","ARM",NA,NA
"232","ARG",-0.000994551209915253,7.61254784337481e-05
"233","ATG",NA,NA
"234","AGO",-0.00667054448962422,0.000681246394599325
"235","AND",NA,NA
"236","DZA",-0.00157165348157571,9.25416645075639e-05
"237","ALB",-0.000471631161899965,1.845357062115e-05
"238","AFG",NA,NA
"239","-99",NA,NA
"240","ATA",NA,NA
"241","SXM",NA,NA
"242","TUV",NA,NA
